id,title,url,editors,year,in_franzini,in_sahle,franzini_id,tei_declared,xml_downloadable,available,period,language,variance,ride
0900,The Ambrose Bierce Project,http://www.ambrosebierce.org/,"Ed. by Craig A. Warren. State College (PA): Pennsylvania State University, 2008-2010.",2008,no,yes,,,,,,,,
0901,The André Gide Editions Project,http://hridigital.shef.ac.uk/gide,,,yes,no,169,partly,no,yes,Long Nineteenth Century; Modern,FRE,not provided,no
0902,The annotated Utrecht Psalter,http://psalter.library.uu.nl,"[No responsible editor named]. Utrecht: Utrecht University Library, 2015.",2015,no,yes,,,,,,,,
0903,The Arden Shakespeare CD-ROM,http://purl.oclc.org/emls/04-2/rev_siem.html,"Ed. by Jonathan Bate. Walton-on-Thames: Arden Shakespeare, 1997; ISBN 978-0174434707; CD-ROM.",1997,no,yes,,,,,,,,
0904,The Athanasius Kircher [Correspondence] Project,https://web.stanford.edu/group/kircher/,"Ed. by Michael John Gorman and Nick Wilding. Florence / Stanford (CA) et al.: Museo Galileo / Stanford University, 1998-2003.",1998,no,yes,,,,,,,,
0905,The Auchinleck manuscript,http://auchinleck.nls.uk/index.html,"Ed. by David Burnley and Alison Wiggins. Edinburgh: National Library of Scotland, 2003-2004.",2003,yes,yes,54,no,no,yes,Middle Ages,ENM,yes,no
0906,The Augsburg Web Edition of Llull's Electoral Writings,http://www.math.uni-augsburg.de/stochastik/llull/,,,yes,no,63,no,no,yes,Middle Ages,LAT,not provided,no
0907,The Augsburg Web Edition of Llull's Electoral Writings,https://www.math.uni-augsburg.de/htdocs/emeriti/pukelsheim/llull/,"Hg. von M. Drton, G. Hägele, D. Haneberg, F. Pukelsheim und W. Reif. Augsburg: Universität Augsburg, 2001-2016.",2001,no,yes,,,,,,,,
0908,The Banks of Wye by Robert Bloomfield,https://romantic-circles.org/editions/wye,"Ed. by Tim Fulford. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2012.",2012,no,yes,,,,,,,,
0909,The Benjamin Marston Diaries Project,https://preserve.lib.unb.ca/marston/20231127201353/https://web.lib.unb.ca/Texts/marston/,"Ed. by Lisa Charlong et al. Fredericton (NB): The Electronic Text Centre at the University of New Brunswick Libraries, 1996.",1996,no,yes,,,,,,,,
0910,The Benjamin Marston Diary Project,http://www.lib.unb.ca/Texts/marston/,,,yes,no,170,partly,no,no,Early Modern,ENG,not provided,no
0911,The Bevan Family Letters,http://rth.org.uk/collections/bevan-dewar-letters,"Project lead by Nick Tyson et al. Hove: Regency Town House, 2009.",2009,yes,yes,171,no,no,yes,Long Nineteenth Century,ENG,not provided,no
0912,The Book of Ben Sira,http://www.bensira.org/,,,yes,no,39,no,no,yes,Antiquity,HEB,not provided,no
0913,The Book of Margery Kempe:,https://english.selu.edu/kempe/index.php,"Ed. by Joel W. Fredell. Hammond: Southeastern Louisiana University, 2015.",2015,no,yes,,,,,,,,
0914,The Booker T. Washington Papers Digital Edition,https://rotunda.upress.virginia.edu/founders/BTWN.html,"Ed. by Louis R. Harlan and Raymond W. Smock. Charlottesville: University of Virginia Press, Rotunda, 2021.",2021,no,yes,,,,,,,,
0915,The Bosworth Letters,https://web.archive.org/web/20151028175207/http://bosworthletters.vtcath.org/,"Ashley Taylor Hughes. Blacksburg: Center for Applied Technologies in the Humanities (CATH), 2016.",2016,no,yes,,,,,,,,
0916,The Burnet Psalter,http://www.abdn.ac.uk/diss/historic/collects/bps/index.html,,,yes,no,172,no,no,yes,Middle Ages,LAT,not provided,no
0917,The Cambridge Edition of the Works of Ben Jonson,https://universitypublishingonline.org/cambridge/benjonson/,"Ed. by David Bevington et al. Cambridge: Cambridge University Press, 2012.",2012,no,yes,,,,,,,,
0918,The Canterbury Roll: A Digital Edition,http://canterburyroll.canterbury.ac.nz/,"Ed. by Chris Jones, Chris Thomson, Maree Shirota, Elisabeth Rolston, Thandi Parker, and Jennifer Middendorf. Canterbury: University of Canterbury, 2017.",2017,no,yes,,,,,,,,
0919,The Canterbury Tales Project,http://www.textualcommunities.usask.ca/web/canterbury-tales,,,yes,no,173,no,no,no,Middle Ages,ENM,not provided,no
0920,The Canterbury Tales Project: The Hengwrt Chaucer Digital Facsimile,http://www.sd-editions.com/hengwrt/index.html,"Ed. by Estelle Stubbs. Leicester: De Montfort University, 2000; ISBN 978-1953961060 [individual license] / 978-1953961087 [institutional license]; CD-ROM.",2000,no,yes,,,,,,,,
0921,The Canterbury Tales Project: The Miller's Tale on CD-ROM,http://www.sd-editions.com/miller/index.html,"Ed. by Peter Robinson. Birmingham: University of Birmingham, 2004; ISBN 978-1953961028 [individual license] / 978-1953961087 [institutional license]; CD-ROM.",2004,no,yes,,,,,,,,
0922,The Canterbury Tales Project: The Nun's Priest's Tale on CD-ROM,http://www.sd-editions.com/NP/index.html,"Ed. by Paul Thomas. Birmingham: University of Birmingham, 2006; ISBN 0-953961-03-6 [individual license] / 0-953961-09-5 [institutional license]; CD-ROM.",2006,no,yes,,,,,,,,
0923,The Carlyle Letters Online,https://carlyleletters.dukeupress.edu/,"Ed. by Brent E. Kinser. Durham (NC): Duke University Press, 2007-.",2007,no,yes,,,,,,,,
0924,The Casebooks Project,http://www.magicandmedicine.hps.cam.ac.uk/,"Lauren Kassell (ed.), with Michael Hawkins, Robert Ralley and John Young. Cambridge: Cambridge University, 2013.",2013,yes,yes,55,yes,no,yes,Middle Ages; Early Modern,ENG; LAT,not provided,no
0925,The Charette Project 2,http://web.archive.org/web/*/http://lancelot.baylor.edu/,"Ed. by Karl D. Uitti, Gina Greco et al. Waco (TX): Baylor University, 1991-2006.",1991,no,yes,,,,,,,,
